event_date,product_name_it,quantity_consumed,wholesale_price_eur,total_cost_eur,format
2024-06-16,vino rosso appia,2.0,7.4,14.8,
2024-06-30,Acqua gassatissima 1\1.5lt,23.0,0.75,17.25,
2024-06-30,Amico bicchieri,742.0,,,
2024-06-30,Arancia 1l.,13.0,1.8,23.4,
2024-06-30,BITTER ASPIDE (APEROL),22.0,9.81,215.82,
2024-06-30,BITTER MAZZINI (CAMPARI),36.0,11.34,408.24,
2024-06-30,Bombole CO2 10kg,0.0,25.0,0.0,
2024-06-30,Citrico + malico,0.0,,,
2024-06-30,Coca Cola 1l.,33.0,1.485,49.01,
2024-06-30,GIN BROKER'S,105.0,11.61,1219.05,
2024-06-30,GIN GRIFU,0.0,25.83,0.0,
2024-06-30,GIN MARE,8.0,27.07,216.56,
2024-06-30,GIN N3,20.4,9.01,183.8,
2024-06-30,Ghiaccio 5kg,1300.0,0.5,650.0,Varie
2024-06-30,H2o pet 1l. san benedetto,240.0,0.5,120.0,
2024-06-30,Heineken fusti 30lt,17.0,75.0,1275.0,
2024-06-30,KINLEY LEMON,44.0,1.5,66.0,
2024-06-30,KINLEY TONIC,250.0,1.5,375.0,
2024-06-30,MEZCAL PERRO DE SAN JUAN,0.0,25.38,0.0,
2024-06-30,Prosecco,149.0,3.0,447.0,Partesa
2024-06-30,RUM BARCELO BLANCO,6.0,11.77,70.62,
2024-06-30,RUM BARCELO IMPERIAL,0.0,20.7,0.0,
2024-06-30,"Shweppes Ginger Beer 0,18l.",48.0,0.825,39.6,
2024-06-30,Shweppes Pompelmo vetro,96.0,0.69375,66.6,
2024-06-30,TEQUILA CORRALEJO BLANCO,2.0,20.16,40.32,
2024-06-30,TEQUILA JIMADOR,5.0,24.0,120.0,
2024-06-30,VERMOUTH MANCINO,24.0,16.56,397.44,
2024-06-30,VODKA FINLANDIA,5.0,10.71,53.55,CC-HGC
2024-06-30,WHISKEY JACK DANIEL'S,11.0,22.41,246.51,
2024-06-30,WHISKEY JACK DANIEL'S APPLE,0.0,25.29,0.0,
2024-06-30,Zucchero semolato kg,30.0,,,
2024-06-30,h2o latt frizz,107.0,0.5208333333,55.73,
2024-06-30,h2o latt nat,84.0,0.5208333333,43.75,
2024-06-30,sciroppo Sambuco,0.0,12.87,0.0,
2024-06-30,sciroppo lamponi,0.0,11.43,0.0,
2024-06-30,sciroppo passion,0.0,11.43,0.0,
2024-06-30,succo ananas,10.0,1.8,18.0,
2024-06-30,vino bianco appia,104.0,6.22,646.88,
2024-06-30,vino rosso appia,2.0,7.4,14.8,
2024-07-14,Acqua gassatissima 1\1.5lt,26.0,0.75,19.5,
2024-07-14,Amico bicchieri,742.0,,,
2024-07-14,Arancia 1l.,15.0,1.8,27.0,
2024-07-14,BITTER ASPIDE (APEROL),44.0,9.81,431.64,
2024-07-14,BITTER MAZZINI (CAMPARI),48.0,11.34,544.32,
2024-07-14,Bombole CO2 10kg,6.0,25.0,150.0,
2024-07-14,Citrico + malico,0.0,,,
2024-07-14,Coca Cola 1l.,37.0,1.485,54.95,
2024-07-14,GIN BROKER'S,136.0,11.61,1578.96,
2024-07-14,GIN GRIFU,1.0,25.83,25.83,
2024-07-14,GIN MARE,10.0,27.07,270.7,
2024-07-14,GIN N3,20.4,9.01,183.8,
2024-07-14,Ghiaccio 5kg,350.0,0.5,175.0,Varie
2024-07-14,H2o pet 1l. san benedetto,0.0,0.5,0.0,
2024-07-14,Heineken fusti 30lt,18.0,75.0,1350.0,
2024-07-14,KINLEY LEMON,63.0,1.5,94.5,
2024-07-14,KINLEY TONIC,274.0,1.5,411.0,
2024-07-14,MEZCAL PERRO DE SAN JUAN,0.0,25.38,0.0,
2024-07-14,Prosecco,236.0,3.0,708.0,Partesa
2024-07-14,RUM BARCELO BLANCO,17.0,11.77,200.09,
2024-07-14,RUM BARCELO IMPERIAL,0.0,20.7,0.0,
2024-07-14,"Shweppes Ginger Beer 0,18l.",69.0,0.825,56.92,
2024-07-14,Shweppes Pompelmo vetro,88.0,0.69375,61.05,
2024-07-14,TEQUILA CORRALEJO BLANCO,20.0,20.16,403.2,
2024-07-14,TEQUILA JIMADOR,5.0,24.0,120.0,
2024-07-14,VERMOUTH MANCINO,36.0,16.56,596.16,
2024-07-14,VODKA FINLANDIA,34.0,10.71,364.14,CC-HGC
2024-07-14,WHISKEY JACK DANIEL'S,10.0,22.41,224.1,
2024-07-14,WHISKEY JACK DANIEL'S APPLE,0.0,25.29,0.0,
2024-07-14,Zucchero semolato kg,0.0,,,
2024-07-14,h2o latt frizz,129.0,0.5208333333,67.19,
2024-07-14,h2o latt nat,249.0,0.5208333333,129.69,
2024-07-14,sciroppo Sambuco,1.0,12.87,12.87,
2024-07-14,sciroppo lamponi,1.0,11.43,11.43,
2024-07-14,sciroppo passion,1.0,11.43,11.43,
2024-07-14,succo ananas,12.0,1.8,21.6,
2024-07-14,vino bianco appia,94.0,6.22,584.68,
2024-07-14,vino rosso appia,6.0,7.4,44.4,
2024-07-28,Acqua gassatissima 1\1.5lt,15.0,0.75,11.25,
2024-07-28,Amico bicchieri,742.0,,,
2024-07-28,Arancia 1l.,10.0,1.8,18.0,
2024-07-28,BITTER ASPIDE (APEROL),30.0,9.81,294.3,
2024-07-28,BITTER MAZZINI (CAMPARI),34.0,11.34,385.56,
2024-07-28,Bombole CO2 10kg,0.0,25.0,0.0,
2024-07-28,Citrico + malico,0.0,,,
2024-07-28,Coca Cola 1l.,11.0,1.485,16.34,
2024-07-28,GIN BROKER'S,141.0,11.61,1637.01,
2024-07-28,GIN GRIFU,4.0,25.83,103.32,
2024-07-28,GIN MARE,11.0,27.07,297.77,
2024-07-28,GIN N3,20.4,9.01,183.8,
2024-07-28,Ghiaccio 5kg,1400.0,0.5,700.0,Varie
2024-07-28,H2o pet 1l. san benedetto,480.0,0.5,240.0,
2024-07-28,Heineken fusti 30lt,15.0,75.0,1125.0,
2024-07-28,KINLEY LEMON,81.0,1.5,121.5,
2024-07-28,KINLEY TONIC,259.0,1.5,388.5,
2024-07-28,MEZCAL PERRO DE SAN JUAN,2.0,25.38,50.76,
2024-07-28,Prosecco,174.0,3.0,522.0,Partesa
2024-07-28,RUM BARCELO BLANCO,4.0,11.77,47.08,
2024-07-28,RUM BARCELO IMPERIAL,1.0,20.7,20.7,
2024-07-28,"Shweppes Ginger Beer 0,18l.",99.0,0.825,81.67,
2024-07-28,Shweppes Pompelmo vetro,100.0,0.69375,69.38,
2024-07-28,TEQUILA CORRALEJO BLANCO,19.0,20.16,383.04,
2024-07-28,TEQUILA JIMADOR,9.0,24.0,216.0,
2024-07-28,VERMOUTH MANCINO,16.0,16.56,264.96,
2024-07-28,VODKA FINLANDIA,20.0,10.71,214.2,CC-HGC
2024-07-28,WHISKEY JACK DANIEL'S,10.0,22.41,224.1,
2024-07-28,WHISKEY JACK DANIEL'S APPLE,2.0,25.29,50.58,
2024-07-28,Zucchero semolato kg,0.0,,,
2024-07-28,h2o latt frizz,168.0,0.5208333333,87.5,
2024-07-28,h2o latt nat,284.0,0.5208333333,147.92,
2024-07-28,sciroppo Sambuco,0.0,12.87,0.0,
2024-07-28,sciroppo lamponi,0.0,11.43,0.0,
2024-07-28,sciroppo passion,0.0,11.43,0.0,
2024-07-28,succo ananas,18.0,1.8,32.4,
2024-07-28,vino bianco appia,60.0,6.22,373.2,
2024-07-28,vino rosso appia,1.0,7.4,7.4,
2024-08-04,Acqua gassatissima 1\1.5lt,15.0,0.75,11.25,
2024-08-04,Amico bicchieri,742.0,,,
2024-08-04,Arancia 1l.,15.0,1.8,27.0,
2024-08-04,BITTER ASPIDE (APEROL),24.0,9.81,235.44,
2024-08-04,BITTER MAZZINI (CAMPARI),33.0,11.34,374.22,
2024-08-04,Bombole CO2 10kg,2.0,25.0,50.0,
2024-08-04,Citrico + malico,0.0,,,
2024-08-04,Coca Cola 1l.,13.0,1.485,19.3,
2024-08-04,GIN BROKER'S,106.0,11.61,1230.66,
2024-08-04,GIN GRIFU,3.0,25.83,77.49,
2024-08-04,GIN MARE,7.0,27.07,189.49,
2024-08-04,GIN N3,10.0,9.01,90.1,
2024-08-04,Ghiaccio 5kg,1250.0,0.5,625.0,Varie
2024-08-04,H2o pet 1l. san benedetto,96.0,0.5,48.0,
2024-08-04,Heineken fusti 30lt,15.0,75.0,1125.0,
2024-08-04,KINLEY LEMON,80.0,1.5,120.0,
2024-08-04,KINLEY TONIC,180.0,1.5,270.0,
2024-08-04,MEZCAL PERRO DE SAN JUAN,2.0,25.38,50.76,
2024-08-04,Prosecco,107.0,3.0,321.0,Partesa
2024-08-04,RUM BARCELO BLANCO,9.0,11.77,105.93,
2024-08-04,RUM BARCELO IMPERIAL,1.0,20.7,20.7,
2024-08-04,"Shweppes Ginger Beer 0,18l.",5.0,0.825,4.12,
2024-08-04,Shweppes Pompelmo vetro,60.0,0.69375,41.62,
2024-08-04,TEQUILA CORRALEJO BLANCO,5.0,20.16,100.8,
2024-08-04,TEQUILA JIMADOR,2.0,24.0,48.0,
2024-08-04,VERMOUTH MANCINO,15.0,16.56,248.4,
2024-08-04,VODKA FINLANDIA,23.0,10.71,246.33,CC-HGC
2024-08-04,WHISKEY JACK DANIEL'S,6.0,22.41,134.46,
2024-08-04,WHISKEY JACK DANIEL'S APPLE,6.0,25.29,151.74,
2024-08-04,Zucchero semolato kg,0.0,,,
2024-08-04,h2o latt frizz,96.0,0.5208333333,50.0,
2024-08-04,h2o latt nat,216.0,0.5208333333,112.5,
2024-08-04,sciroppo Sambuco,0.0,12.87,0.0,
2024-08-04,sciroppo lamponi,0.0,11.43,0.0,
2024-08-04,sciroppo passion,0.0,11.43,0.0,
2024-08-04,shot pla,0.0,,,
2024-08-04,succo ananas,16.0,1.8,28.8,
2024-08-04,vino bianco appia,63.0,6.22,391.86,
2024-08-04,vino rosso appia,1.0,7.4,7.4,
