event_date,operator_name,store_assignment,product_name_it,units_confirmed
2024-06-16,sun-jack-16@slesh.it,Main Bar Jack Daniel's,Sprtiz,6
2024-06-16,sun-jack-16@slesh.it,Main Bar Jack Daniel's,Bottiglia,2
2024-06-16,sun-jack-1@slesh.it,Main Bar Jack Daniel's,Gin Tonic,105
2024-06-16,sun-jack-1@slesh.it,Main Bar Jack Daniel's,Bicchiere,90
2024-06-16,sun-jack-1@slesh.it,Main Bar Jack Daniel's,Vino e bolle,10
2024-06-16,sun-jack-1@slesh.it,Main Bar Jack Daniel's,Analcolico,7
2024-06-16,sun-jack-1@slesh.it,Main Bar Jack Daniel's,Cocktail,102
2024-06-16,sun-jack-1@slesh.it,Main Bar Jack Daniel's,Acqua,10
2024-06-16,sun-jack-1@slesh.it,Main Bar Jack Daniel's,Cocktail Premium,2
2024-06-16,sun-jack-1@slesh.it,Main Bar Jack Daniel's,Soft Drink,12
2024-06-16,sun-jack-1@slesh.it,Main Bar Jack Daniel's,Sprtiz,41
2024-06-16,sun-jack-1@slesh.it,Main Bar Jack Daniel's,Bottiglia,15
2024-06-16,sun-jack-2@slesh.it,Main Bar Jack Daniel's,Gin Tonic,102
2024-06-16,sun-jack-2@slesh.it,Main Bar Jack Daniel's,Bicchiere,158
2024-06-16,sun-jack-2@slesh.it,Main Bar Jack Daniel's,Vino e bolle,8
2024-06-16,sun-jack-2@slesh.it,Main Bar Jack Daniel's,Cocktail,91
2024-06-16,sun-jack-2@slesh.it,Main Bar Jack Daniel's,Acqua,8
2024-06-16,sun-jack-2@slesh.it,Main Bar Jack Daniel's,Cocktail Premium,4
2024-06-16,sun-jack-2@slesh.it,Main Bar Jack Daniel's,Soft Drink,5
2024-06-16,sun-jack-2@slesh.it,Main Bar Jack Daniel's,Sprtiz,43
2024-06-16,sun-jack-2@slesh.it,Main Bar Jack Daniel's,Bottiglia,36
2024-06-16,sun-jack-3@slesh.it,Main Bar Jack Daniel's,Gin Tonic,88
2024-06-16,sun-jack-3@slesh.it,Main Bar Jack Daniel's,Birra,2
2024-06-16,sun-jack-3@slesh.it,Main Bar Jack Daniel's,Bicchiere,80
2024-06-16,sun-jack-3@slesh.it,Main Bar Jack Daniel's,Vino e bolle,11
2024-06-16,sun-jack-3@slesh.it,Main Bar Jack Daniel's,Cocktail,76
2024-06-16,sun-jack-3@slesh.it,Main Bar Jack Daniel's,Acqua,4
2024-06-16,sun-jack-3@slesh.it,Main Bar Jack Daniel's,Cocktail Premium,4
2024-06-16,sun-jack-3@slesh.it,Main Bar Jack Daniel's,Soft Drink,4
2024-06-16,sun-jack-3@slesh.it,Main Bar Jack Daniel's,Sprtiz,33
2024-06-16,sun-jack-3@slesh.it,Main Bar Jack Daniel's,Bottiglia,16
2024-06-16,sun-jack-4@slesh.it,Main Bar Jack Daniel's,Gin Tonic,167
2024-06-16,sun-jack-4@slesh.it,Main Bar Jack Daniel's,Bicchiere,197
2024-06-16,sun-jack-4@slesh.it,Main Bar Jack Daniel's,Vino e bolle,19
2024-06-16,sun-jack-4@slesh.it,Main Bar Jack Daniel's,Cocktail,171
2024-06-16,sun-jack-4@slesh.it,Main Bar Jack Daniel's,Acqua,24
2024-06-16,sun-jack-4@slesh.it,Main Bar Jack Daniel's,Cocktail Premium,7
2024-06-16,sun-jack-4@slesh.it,Main Bar Jack Daniel's,Soft Drink,8
2024-06-16,sun-jack-4@slesh.it,Main Bar Jack Daniel's,Sprtiz,55
2024-06-16,sun-jack-4@slesh.it,Main Bar Jack Daniel's,Bottiglia,25
2024-06-16,sun-jack-5@slesh.it,Main Bar Jack Daniel's,Gin Tonic,63
2024-06-16,sun-jack-5@slesh.it,Main Bar Jack Daniel's,Bicchiere,151
2024-06-16,sun-jack-5@slesh.it,Main Bar Jack Daniel's,Vino e bolle,10
2024-06-16,sun-jack-5@slesh.it,Main Bar Jack Daniel's,Analcolico,1
2024-06-16,sun-jack-5@slesh.it,Main Bar Jack Daniel's,Cocktail,130
2024-06-16,sun-jack-5@slesh.it,Main Bar Jack Daniel's,Acqua,10
2024-06-16,sun-jack-5@slesh.it,Main Bar Jack Daniel's,Cocktail Premium,11
2024-06-16,sun-jack-5@slesh.it,Main Bar Jack Daniel's,Soft Drink,21
2024-06-16,sun-jack-5@slesh.it,Main Bar Jack Daniel's,Sprtiz,49
2024-06-16,sun-jack-5@slesh.it,Main Bar Jack Daniel's,Bottiglia,13
2024-06-16,sun-jack-6@slesh.it,Main Bar Jack Daniel's,Gin Tonic,83
2024-06-16,sun-jack-6@slesh.it,Main Bar Jack Daniel's,Birra,3
2024-06-16,sun-jack-6@slesh.it,Main Bar Jack Daniel's,Bicchiere,131
2024-06-16,sun-jack-6@slesh.it,Main Bar Jack Daniel's,Vino e bolle,15
2024-06-16,sun-jack-6@slesh.it,Main Bar Jack Daniel's,Analcolico,1
2024-06-16,sun-jack-6@slesh.it,Main Bar Jack Daniel's,Cocktail,135
2024-06-16,sun-jack-6@slesh.it,Main Bar Jack Daniel's,Acqua,7
2024-06-16,sun-jack-6@slesh.it,Main Bar Jack Daniel's,Cocktail Premium,8
2024-06-16,sun-jack-6@slesh.it,Main Bar Jack Daniel's,Soft Drink,9
2024-06-16,sun-jack-6@slesh.it,Main Bar Jack Daniel's,Sprtiz,42
2024-06-16,sun-jack-6@slesh.it,Main Bar Jack Daniel's,Bottiglia,19
2024-06-16,sun-jack-7@slesh.it,Main Bar Jack Daniel's,Gin Tonic,90
2024-06-16,sun-jack-7@slesh.it,Main Bar Jack Daniel's,Bicchiere,198
2024-06-16,sun-jack-7@slesh.it,Main Bar Jack Daniel's,Vino e bolle,14
2024-06-16,sun-jack-7@slesh.it,Main Bar Jack Daniel's,Analcolico,3
2024-06-16,sun-jack-7@slesh.it,Main Bar Jack Daniel's,Cocktail,127
2024-06-16,sun-jack-7@slesh.it,Main Bar Jack Daniel's,Acqua,23
2024-06-16,sun-jack-7@slesh.it,Main Bar Jack Daniel's,Cocktail Premium,2
2024-06-16,sun-jack-7@slesh.it,Main Bar Jack Daniel's,Soft Drink,10
2024-06-16,sun-jack-7@slesh.it,Main Bar Jack Daniel's,Sprtiz,80
2024-06-16,sun-jack-7@slesh.it,Main Bar Jack Daniel's,Caffè,3
2024-06-16,sun-jack-7@slesh.it,Main Bar Jack Daniel's,Bottiglia,18
2024-06-30,sd-barcelo-1@slesh.it,Bar Barcelo,Cocktail,53
2024-06-30,sd-barcelo-1@slesh.it,Bar Barcelo,Acqua,21
2024-06-30,sd-barcelo-1@slesh.it,Bar Barcelo,Bicchiere,45
2024-06-30,sd-barcelo-1@slesh.it,Bar Barcelo,Cocktail Premium,11
2024-06-30,sd-barcelo-1@slesh.it,Bar Barcelo,Soft Drink,4
2024-06-30,sd-barcelo-1@slesh.it,Bar Barcelo,Gin Tonic,49
2024-06-30,sd-barcelo-1@slesh.it,Bar Barcelo,Birra,1
2024-06-30,sd-barcelo-1@slesh.it,Bar Barcelo,Sprtiz,24
2024-06-30,sd-barcelo-1@slesh.it,Bar Barcelo,Vino e bolle,20
2024-06-30,sd-barcelo-1@slesh.it,Bar Barcelo,Analcolico,2
2024-06-30,sd-barcelo-1@slesh.it,Bar Barcelo,Bottiglia Vino,5
2024-06-30,sd-barcelo-2@slesh.it,Bar Barcelo,Cocktail,96
2024-06-30,sd-barcelo-2@slesh.it,Bar Barcelo,Acqua,24
2024-06-30,sd-barcelo-2@slesh.it,Bar Barcelo,Bicchiere,53
2024-06-30,sd-barcelo-2@slesh.it,Bar Barcelo,Soft Drink,4
2024-06-30,sd-barcelo-2@slesh.it,Bar Barcelo,Gin Tonic,85
2024-06-30,sd-barcelo-2@slesh.it,Bar Barcelo,Birra,24
2024-06-30,sd-barcelo-2@slesh.it,Bar Barcelo,Sprtiz,21
2024-06-30,sd-barcelo-2@slesh.it,Bar Barcelo,Vino e bolle,5
2024-06-30,sd-barcelo-2@slesh.it,Bar Barcelo,Shot,6
2024-06-30,sd-barcelo-3@slesh.it,Bar Barcelo,Cocktail,32
2024-06-30,sd-barcelo-3@slesh.it,Bar Barcelo,Acqua,13
2024-06-30,sd-barcelo-3@slesh.it,Bar Barcelo,Bicchiere,25
2024-06-30,sd-barcelo-3@slesh.it,Bar Barcelo,Gin Tonic,56
2024-06-30,sd-barcelo-3@slesh.it,Bar Barcelo,Sprtiz,8
2024-06-30,sd-barcelo-3@slesh.it,Bar Barcelo,Vino e bolle,4
2024-06-30,sd-barcelo-3@slesh.it,Bar Barcelo,Shot,2
2024-06-30,sd-barcelo-4@slesh.it,Bar Barcelo,Cocktail,43
2024-06-30,sd-barcelo-4@slesh.it,Bar Barcelo,Acqua,12
2024-06-30,sd-barcelo-4@slesh.it,Bar Barcelo,Bicchiere,40
2024-06-30,sd-barcelo-4@slesh.it,Bar Barcelo,Cocktail Premium,1
2024-06-30,sd-barcelo-4@slesh.it,Bar Barcelo,Soft Drink,1
2024-06-30,sd-barcelo-4@slesh.it,Bar Barcelo,Gin Tonic,76
2024-06-30,sd-barcelo-4@slesh.it,Bar Barcelo,Sprtiz,14
2024-06-30,sd-barcelo-4@slesh.it,Bar Barcelo,Vino e bolle,2
2024-06-30,sd-barcelo-4@slesh.it,Bar Barcelo,Shot,1
2024-06-30,sd-barcelo-5@slesh.it,Bar Barcelo,Cocktail,87
2024-06-30,sd-barcelo-5@slesh.it,Bar Barcelo,Acqua,5
2024-06-30,sd-barcelo-5@slesh.it,Bar Barcelo,Bicchiere,27
2024-06-30,sd-barcelo-5@slesh.it,Bar Barcelo,Soft Drink,2
2024-06-30,sd-barcelo-5@slesh.it,Bar Barcelo,Gin Tonic,6
2024-06-30,sd-barcelo-5@slesh.it,Bar Barcelo,Sprtiz,19
2024-06-30,sd-barcelo-5@slesh.it,Bar Barcelo,Vino e bolle,11
2024-06-30,sd-barcelo-5@slesh.it,Bar Barcelo,Bottiglia Vino,1
2024-06-30,sd-barcelo-birra-1@slesh.it,Bar Barcelo Birra,Bicchiere,30
2024-06-30,sd-barcelo-birra-1@slesh.it,Bar Barcelo Birra,Birra,157
2024-06-30,sd-food-1@slesh.it,Punto Food,BUN ceci,7
2024-06-30,sd-food-1@slesh.it,Punto Food,Gyoza,26
2024-06-30,sd-food-1@slesh.it,Punto Food,Poke pollo,29
2024-06-30,sd-food-1@slesh.it,Punto Food,BUN melanzana,7
2024-06-30,sd-food-1@slesh.it,Punto Food,BUN pollo,49
2024-06-30,sd-food-1@slesh.it,Punto Food,Frutta,15
2024-06-30,sd-food-1@slesh.it,Punto Food,Patatine,79
2024-06-30,sd-food-1@slesh.it,Punto Food,BUN manzo,57
2024-06-30,sd-food-1@slesh.it,Punto Food,Poke uova,6
2024-06-30,sd-food-1@slesh.it,Punto Food,Maxi tacos,123
2024-06-30,sd-food-1@slesh.it,Punto Food,Takoyaki,13
2024-06-30,sd-food-2@slesh.it,Punto Food,BUN ceci,2
2024-06-30,sd-food-2@slesh.it,Punto Food,Gyoza,4
2024-06-30,sd-food-2@slesh.it,Punto Food,Poke pollo,8
2024-06-30,sd-food-2@slesh.it,Punto Food,BUN melanzana,5
2024-06-30,sd-food-2@slesh.it,Punto Food,BUN pollo,8
2024-06-30,sd-food-2@slesh.it,Punto Food,Frutta,10
2024-06-30,sd-food-2@slesh.it,Punto Food,Patatine,19
2024-06-30,sd-food-2@slesh.it,Punto Food,BUN manzo,14
2024-06-30,sd-food-2@slesh.it,Punto Food,Poke uova,3
2024-06-30,sd-food-2@slesh.it,Punto Food,Maxi tacos,27
2024-06-30,sd-food-2@slesh.it,Punto Food,Takoyaki,4
2024-06-30,sd-food-3@slesh.it,Punto Food,Gyoza,3
2024-06-30,sd-food-3@slesh.it,Punto Food,Poke pollo,4
2024-06-30,sd-food-3@slesh.it,Punto Food,BUN melanzana,3
2024-06-30,sd-food-3@slesh.it,Punto Food,BUN pollo,1
2024-06-30,sd-food-3@slesh.it,Punto Food,Frutta,5
2024-06-30,sd-food-3@slesh.it,Punto Food,Patatine,6
2024-06-30,sd-food-3@slesh.it,Punto Food,BUN manzo,3
2024-06-30,sd-food-3@slesh.it,Punto Food,Poke uova,2
2024-06-30,sd-food-3@slesh.it,Punto Food,Maxi tacos,8
2024-06-30,sd-food-caffe-1@slesh.it,Punto Food Caffè,Caffè,18
2024-06-30,sd-gin-1@slesh.it,Bar Gin No.3,Bicchiere,38
2024-06-30,sd-gin-1@slesh.it,Bar Gin No.3,No.3 TONIC,99
2024-06-30,sd-gin-1@slesh.it,Bar Gin No.3,No.3 MULE,7
2024-06-30,sd-gin-1@slesh.it,Bar Gin No.3,No.3 PINK,27
2024-06-30,sd-jack-1@slesh.it,Main Bar Jack Daniel's,Cocktail,92
2024-06-30,sd-jack-1@slesh.it,Main Bar Jack Daniel's,Acqua,20
2024-06-30,sd-jack-1@slesh.it,Main Bar Jack Daniel's,Bicchiere,87
2024-06-30,sd-jack-1@slesh.it,Main Bar Jack Daniel's,Cocktail Premium,5
2024-06-30,sd-jack-1@slesh.it,Main Bar Jack Daniel's,Soft Drink,11
2024-06-30,sd-jack-1@slesh.it,Main Bar Jack Daniel's,Gin Tonic,40
2024-06-30,sd-jack-1@slesh.it,Main Bar Jack Daniel's,Sprtiz,15
2024-06-30,sd-jack-1@slesh.it,Main Bar Jack Daniel's,Vino e bolle,7
2024-06-30,sd-jack-1@slesh.it,Main Bar Jack Daniel's,Analcolico,3
2024-06-30,sd-jack-1@slesh.it,Main Bar Jack Daniel's,Bottiglia Vino,4
2024-06-30,sd-jack-2@slesh.it,Main Bar Jack Daniel's,Cocktail,69
2024-06-30,sd-jack-2@slesh.it,Main Bar Jack Daniel's,Acqua,18
2024-06-30,sd-jack-2@slesh.it,Main Bar Jack Daniel's,Bicchiere,84
2024-06-30,sd-jack-2@slesh.it,Main Bar Jack Daniel's,Cocktail Premium,3
2024-06-30,sd-jack-2@slesh.it,Main Bar Jack Daniel's,Soft Drink,4
2024-06-30,sd-jack-2@slesh.it,Main Bar Jack Daniel's,Gin Tonic,66
2024-06-30,sd-jack-2@slesh.it,Main Bar Jack Daniel's,Birra,4
2024-06-30,sd-jack-2@slesh.it,Main Bar Jack Daniel's,Sprtiz,33
2024-06-30,sd-jack-2@slesh.it,Main Bar Jack Daniel's,Vino e bolle,5
2024-06-30,sd-jack-2@slesh.it,Main Bar Jack Daniel's,Bottiglia Vino,7
2024-06-30,sd-jack-3@slesh.it,Main Bar Jack Daniel's,Cocktail,109
2024-06-30,sd-jack-3@slesh.it,Main Bar Jack Daniel's,Acqua,13
2024-06-30,sd-jack-3@slesh.it,Main Bar Jack Daniel's,Bicchiere,133
2024-06-30,sd-jack-3@slesh.it,Main Bar Jack Daniel's,Cocktail Premium,11
2024-06-30,sd-jack-3@slesh.it,Main Bar Jack Daniel's,Soft Drink,7
2024-06-30,sd-jack-3@slesh.it,Main Bar Jack Daniel's,Gin Tonic,86
2024-06-30,sd-jack-3@slesh.it,Main Bar Jack Daniel's,Sprtiz,55
2024-06-30,sd-jack-3@slesh.it,Main Bar Jack Daniel's,Vino e bolle,6
2024-06-30,sd-jack-3@slesh.it,Main Bar Jack Daniel's,Bottiglia,11
2024-06-30,sd-jack-4@slesh.it,Main Bar Jack Daniel's,Cocktail,209
2024-06-30,sd-jack-4@slesh.it,Main Bar Jack Daniel's,Acqua,19
2024-06-30,sd-jack-4@slesh.it,Main Bar Jack Daniel's,Bicchiere,153
2024-06-30,sd-jack-4@slesh.it,Main Bar Jack Daniel's,Cocktail Premium,7
2024-06-30,sd-jack-4@slesh.it,Main Bar Jack Daniel's,Soft Drink,8
2024-06-30,sd-jack-4@slesh.it,Main Bar Jack Daniel's,Gin Tonic,88
2024-06-30,sd-jack-4@slesh.it,Main Bar Jack Daniel's,Sprtiz,26
2024-06-30,sd-jack-4@slesh.it,Main Bar Jack Daniel's,Vino e bolle,16
2024-06-30,sd-jack-4@slesh.it,Main Bar Jack Daniel's,Bottiglia,9
2024-06-30,sd-jack-5@slesh.it,Main Bar Jack Daniel's,Cocktail,128
2024-06-30,sd-jack-5@slesh.it,Main Bar Jack Daniel's,Acqua,23
2024-06-30,sd-jack-5@slesh.it,Main Bar Jack Daniel's,Bicchiere,150
2024-06-30,sd-jack-5@slesh.it,Main Bar Jack Daniel's,Cocktail Premium,14
2024-06-30,sd-jack-5@slesh.it,Main Bar Jack Daniel's,Soft Drink,17
2024-06-30,sd-jack-5@slesh.it,Main Bar Jack Daniel's,Gin Tonic,116
2024-06-30,sd-jack-5@slesh.it,Main Bar Jack Daniel's,Sprtiz,68
2024-06-30,sd-jack-5@slesh.it,Main Bar Jack Daniel's,Vino e bolle,12
2024-06-30,sd-jack-5@slesh.it,Main Bar Jack Daniel's,Analcolico,2
2024-06-30,sd-jack-5@slesh.it,Main Bar Jack Daniel's,Bottiglia Vino,1
2024-06-30,sd-jack-5@slesh.it,Main Bar Jack Daniel's,Shot,9
2024-06-30,sd-jack-5@slesh.it,Main Bar Jack Daniel's,Bottiglia,12
2024-06-30,sd-jack-6@slesh.it,Main Bar Jack Daniel's,Cocktail,169
2024-06-30,sd-jack-6@slesh.it,Main Bar Jack Daniel's,Acqua,21
2024-06-30,sd-jack-6@slesh.it,Main Bar Jack Daniel's,Bicchiere,151
2024-06-30,sd-jack-6@slesh.it,Main Bar Jack Daniel's,Cocktail Premium,5
2024-06-30,sd-jack-6@slesh.it,Main Bar Jack Daniel's,Soft Drink,6
2024-06-30,sd-jack-6@slesh.it,Main Bar Jack Daniel's,Gin Tonic,62
2024-06-30,sd-jack-6@slesh.it,Main Bar Jack Daniel's,Sprtiz,52
2024-06-30,sd-jack-6@slesh.it,Main Bar Jack Daniel's,Vino e bolle,8
2024-06-30,sd-jack-6@slesh.it,Main Bar Jack Daniel's,Bottiglia Vino,11
2024-06-30,sd-jack-6@slesh.it,Main Bar Jack Daniel's,Shot,1
2024-06-30,sd-jack-6@slesh.it,Main Bar Jack Daniel's,Bottiglia,2
2024-06-30,sd-jack-7@slesh.it,Main Bar Jack Daniel's,Cocktail,115
2024-06-30,sd-jack-7@slesh.it,Main Bar Jack Daniel's,Acqua,20
2024-06-30,sd-jack-7@slesh.it,Main Bar Jack Daniel's,Bicchiere,179
2024-06-30,sd-jack-7@slesh.it,Main Bar Jack Daniel's,Cocktail Premium,18
2024-06-30,sd-jack-7@slesh.it,Main Bar Jack Daniel's,Soft Drink,6
2024-06-30,sd-jack-7@slesh.it,Main Bar Jack Daniel's,Gin Tonic,103
2024-06-30,sd-jack-7@slesh.it,Main Bar Jack Daniel's,Sprtiz,60
2024-06-30,sd-jack-7@slesh.it,Main Bar Jack Daniel's,Vino e bolle,6
2024-06-30,sd-jack-7@slesh.it,Main Bar Jack Daniel's,Analcolico,4
2024-06-30,sd-jack-7@slesh.it,Main Bar Jack Daniel's,Bottiglia Vino,8
2024-06-30,sd-jack-7@slesh.it,Main Bar Jack Daniel's,Shot,2
2024-06-30,sd-jack-7@slesh.it,Main Bar Jack Daniel's,Bottiglia,2
2024-06-30,sd-jack-8@slesh.it,Main Bar Jack Daniel's,Cocktail,79
2024-06-30,sd-jack-8@slesh.it,Main Bar Jack Daniel's,Acqua,13
2024-06-30,sd-jack-8@slesh.it,Main Bar Jack Daniel's,Bicchiere,107
2024-06-30,sd-jack-8@slesh.it,Main Bar Jack Daniel's,Cocktail Premium,6
2024-06-30,sd-jack-8@slesh.it,Main Bar Jack Daniel's,Soft Drink,8
2024-06-30,sd-jack-8@slesh.it,Main Bar Jack Daniel's,Gin Tonic,101
2024-06-30,sd-jack-8@slesh.it,Main Bar Jack Daniel's,Sprtiz,33
2024-06-30,sd-jack-8@slesh.it,Main Bar Jack Daniel's,Analcolico,8
2024-06-30,sd-jack-8@slesh.it,Main Bar Jack Daniel's,Bottiglia Vino,6
2024-06-30,sd-jack-8@slesh.it,Main Bar Jack Daniel's,Bottiglia,2
2024-06-30,sd-jack-9@slesh.it,Main Bar Jack Daniel's,Cocktail,103
2024-06-30,sd-jack-9@slesh.it,Main Bar Jack Daniel's,Acqua,20
2024-06-30,sd-jack-9@slesh.it,Main Bar Jack Daniel's,Bicchiere,78
2024-06-30,sd-jack-9@slesh.it,Main Bar Jack Daniel's,Cocktail Premium,5
2024-06-30,sd-jack-9@slesh.it,Main Bar Jack Daniel's,Soft Drink,4
2024-06-30,sd-jack-9@slesh.it,Main Bar Jack Daniel's,Gin Tonic,53
