event_date,product_name_it,price_eur,category,units_sold,revenue_eur
2024-07-28,No.3 MULE,13.0,unknown,15,195.0
2024-07-28,No.3 PINK,13.0,unknown,13,169.0
2024-07-28,No.3 TONIC,13.0,unknown,96,1248.0
2024-07-28,Patatine,6.0,unknown,126,756.0
2024-07-28,Poke pollo,10.0,unknown,28,280.0
2024-07-28,Poke uova,10.0,unknown,8,80.0
2024-07-28,Shot,5.0,unknown,72,360.0
2024-07-28,Soft Drink,5.0,unknown,92,460.0
2024-07-28,Sprtiz,10.0,unknown,584,5840.0
2024-07-28,Takoyaki,8.0,unknown,30,240.0
2024-07-28,Vino e bolle,6.0,unknown,152,912.0
2024-08-04,Acqua,2.0,unknown,241,482.0
2024-08-04,Analcolico,8.0,unknown,8,64.0
2024-08-04,BUN ceci,10.0,unknown,7,70.0
2024-08-04,BUN manzo,10.0,unknown,40,400.0
2024-08-04,BUN melanzana,10.0,unknown,7,70.0
2024-08-04,BUN pollo,10.0,unknown,27,270.0
2024-08-04,Bicchiere,1.0,unknown,1359,1359.0
2024-08-04,Birra,6.0,unknown,860,5160.0
2024-08-04,Bottiglia Vino,25.0,unknown,30,750.0
2024-08-04,Caffè,2.0,unknown,19,38.0
2024-08-04,Cocktail,10.0,unknown,1130,11300.0
2024-08-04,Cocktail Premium,13.0,unknown,60,780.0
2024-08-04,Frutta,6.0,unknown,15,90.0
2024-08-04,Gin Tonic,10.0,unknown,809,8090.0
2024-08-04,Gyoza,8.0,unknown,24,192.0
2024-08-04,Maxi tacos,10.0,unknown,124,1240.0
2024-08-04,No.3 MULE,13.0,unknown,9,117.0
2024-08-04,No.3 PINK,13.0,unknown,7,91.0
2024-08-04,No.3 TONIC,13.0,unknown,47,611.0
2024-08-04,Patatine,6.0,unknown,95,570.0
2024-08-04,Poke pollo,10.0,unknown,6,60.0
2024-08-04,Poke uova,10.0,unknown,5,50.0
2024-08-04,Shot,5.0,unknown,30,150.0
2024-08-04,Soft Drink,5.0,unknown,98,490.0
2024-08-04,Sprtiz,10.0,unknown,411,4110.0
2024-08-04,Takoyaki,8.0,unknown,16,128.0
2024-08-04,Vino e bolle,6.0,unknown,96,576.0
