event_date,order_datetime,store_name,products_list,total_eur,status,order_type,deposit_eur
2025-06-15,15/06/2025 13:48,Beer Bar,"Bicchiere, Raffo",7,completed,experience,0
2025-06-15,15/06/2025 13:49,Gelateria,Gelato,3,completed,experience,0
2025-06-15,15/06/2025 13:48,La Nina,Bu Pork ,12,completed,experience,0
2025-06-15,15/06/2025 13:49,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 13:50,Cocktail Bar ,"Bicchiere, Vino e bolle",7,completed,experience,1
2025-06-15,15/06/2025 13:51,Cocktail Bar ,"Bicchiere, Bicchiere, Cocktail, Cocktail",20,completed,experience,0
2025-06-15,15/06/2025 13:52,Beer Bar,"Bicchiere, Nastro Azzurro",7,completed,experience,1
2025-06-15,15/06/2025 13:52,Beer Bar,"Nastro Azzurro, Bicchiere",7,completed,experience,1
2025-06-15,15/06/2025 13:53,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 13:58,Beer Bar,"Bicchiere, Bicchiere, Raffo, Raffo",16,completed,experience,2
2025-06-15,15/06/2025 13:59,Beer Bar,Nastro Azzurro,6,completed,experience,0
2025-06-15,15/06/2025 14:01,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 14:01,Beer Bar,Nastro Azzurro,6,completed,experience,0
2025-06-15,15/06/2025 14:02,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 14:06,Malandrino,"Burger, Patatina Media",17,completed,experience,0
2025-06-15,15/06/2025 14:08,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 14:09,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 14:09,Beer Bar,Nastro Azzurro,6,completed,experience,0
2025-06-15,15/06/2025 14:09,La Nina,Bu Chicken ,12,completed,experience,0
2025-06-15,15/06/2025 14:10,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 14:11,Malandrino,Burger,12,completed,experience,0
2025-06-15,15/06/2025 14:11,Figo ,Arancine ,5,completed,experience,0
2025-06-15,15/06/2025 14:12,Beer Bar,"Nastro Azzurro, Bicchiere",7,completed,experience,1
2025-06-15,15/06/2025 14:12,Beer Bar,"Bicchiere, Raffo",8,completed,experience,1
2025-06-15,15/06/2025 14:12,Focacceria ,Mortadella,8,completed,experience,0
2025-06-15,15/06/2025 14:15,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 14:16,Focacceria ,Prosciutto,8,completed,experience,0
2025-06-15,15/06/2025 14:18,Focacceria ,"Prosciutto, Prosciutto",16,completed,experience,0
2025-06-15,15/06/2025 14:18,Malandrino,"Burger, Burger",24,completed,experience,0
2025-06-15,15/06/2025 14:18,Cocktail Bar ,"Bicchiere, Bottiglia Vino ",28,completed,experience,1
2025-06-15,15/06/2025 14:19,Beer Bar,"Bicchiere, Bicchiere, Raffo, Raffo",16,completed,experience,2
2025-06-15,15/06/2025 14:21,Beer Bar,Raffo,7,completed,experience,0
2025-06-15,15/06/2025 14:21,Focacceria ,Mortadella,8,completed,experience,0
2025-06-15,15/06/2025 14:22,Cocktail Bar ,Sprtiz,10,completed,experience,0
2025-06-15,15/06/2025 14:22,La Nina,Bu Pork ,12,completed,experience,0
2025-06-15,15/06/2025 14:22,Focacceria ,"Veg, Prosciutto",16,completed,experience,0
2025-06-15,15/06/2025 14:23,Focacceria ,Prosciutto,8,completed,experience,0
2025-06-15,15/06/2025 14:24,La Nina,Bu Pork ,12,completed,experience,0
2025-06-15,15/06/2025 14:24,La Nina,Bu Pork ,12,completed,experience,0
2025-06-15,15/06/2025 14:24,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 14:25,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 14:25,Beer Bar,"Raffo, Bicchiere",8,completed,experience,1
2025-06-15,15/06/2025 14:25,Beer Bar,Acqua,2,completed,experience,0
2025-06-15,15/06/2025 14:26,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 14:26,Beer Bar,"Raffo, Bicchiere",7,completed,experience,0
2025-06-15,15/06/2025 14:26,Cocktail Bar ,Soft Drink,5,completed,experience,0
2025-06-15,15/06/2025 14:27,Beer Bar,"Raffo, Bicchiere, Acqua, Acqua",12,completed,experience,1
2025-06-15,15/06/2025 14:27,Focacceria ,Porchetta ,8,completed,experience,0
2025-06-15,15/06/2025 14:27,La Nina,Pulled Pork Burger,12,completed,experience,0
2025-06-15,15/06/2025 14:27,Beer Bar,Nastro Azzurro,6,completed,experience,0
2025-06-15,15/06/2025 14:28,Focacceria ,Veg,8,completed,experience,0
2025-06-15,15/06/2025 14:29,Focacceria ,Prosciutto,8,completed,experience,0
2025-06-15,15/06/2025 14:29,Cocktail Bar ,"Bicchiere, Bicchiere, Cocktail, Cocktail",22,completed,experience,2
2025-06-15,15/06/2025 14:29,Cocktail Bar ,"Bicchiere, Bottiglia Vino ",27,completed,experience,0
2025-06-15,15/06/2025 14:29,Focacceria ,Prosciutto,8,completed,experience,0
2025-06-15,15/06/2025 14:31,Cocktail Bar ,"Bicchiere, Bicchiere, Cocktail, Cocktail",20,completed,experience,0
2025-06-15,15/06/2025 14:31,Focacceria ,Prosciutto,8,completed,experience,0
2025-06-15,15/06/2025 14:32,Cocktail Bar ,"Bicchiere, Bicchiere, Bicchiere, Bicchiere",0,completed,experience,0
2025-06-15,15/06/2025 14:33,La Nina,Bu Veggy ,12,completed,experience,0
2025-06-15,15/06/2025 14:33,Cocktail Bar ,"Bicchiere, Cocktail",10,completed,experience,0
2025-06-15,15/06/2025 14:33,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 14:33,Beer Bar,"Bicchiere, Bicchiere, Raffo, Raffo",16,completed,experience,2
2025-06-15,15/06/2025 14:34,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 14:34,Cocktail Bar ,"Bicchiere, Sprtiz",11,completed,experience,1
2025-06-15,15/06/2025 14:35,Cocktail Bar ,"Bicchiere, Soft Drink",6,completed,experience,1
2025-06-15,15/06/2025 14:35,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 14:35,Beer Bar,"Raffo, Bicchiere",7,completed,experience,0
2025-06-15,15/06/2025 14:36,Beer Bar,"Raffo, Raffo, Bicchiere, Bicchiere",16,completed,experience,2
2025-06-15,15/06/2025 14:36,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 14:36,Beer Bar,"Nastro Azzurro, Bicchiere",7,completed,experience,1
2025-06-15,15/06/2025 14:36,Cocktail Bar ,Sprtiz,10,completed,experience,0
2025-06-15,15/06/2025 14:37,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 14:37,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 14:37,Focacceria ,Porchetta ,8,completed,experience,0
2025-06-15,15/06/2025 14:38,Focacceria ,Porchetta ,8,completed,experience,0
2025-06-15,15/06/2025 14:38,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 14:38,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 14:39,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 14:39,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 14:40,Beer Bar,"Raffo, Raffo",14,completed,experience,0
2025-06-15,15/06/2025 14:40,Cocktail Bar ,"Bicchiere, Cocktail Premium",14,completed,experience,1
2025-06-15,15/06/2025 14:41,Cocktail Bar ,Soft Drink,5,completed,experience,0
2025-06-15,15/06/2025 14:45,Beer Bar,"Nastro Azzurro, Bicchiere",7,completed,experience,1
2025-06-15,15/06/2025 14:45,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 14:46,Figo ,Calamari e Moscardini ,10,completed,experience,0
2025-06-15,15/06/2025 14:46,Beer Bar,"Nastro Azzurro, Bicchiere",7,completed,experience,1
2025-06-15,15/06/2025 14:47,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 14:47,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 14:47,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 14:47,Beer Bar,"Nastro Azzurro, Bicchiere",7,completed,experience,1
2025-06-15,15/06/2025 14:48,Beer Bar,"Raffo, Bicchiere",8,completed,experience,1
2025-06-15,15/06/2025 14:48,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 14:49,Cocktail Bar ,"Bicchiere, Cocktail",10,completed,experience,0
2025-06-15,15/06/2025 14:49,Cocktail Bar ,"Bicchiere, Cocktail, Cocktail",21,completed,experience,1
2025-06-15,15/06/2025 14:50,Cocktail Bar ,Vino e bolle,6,completed,experience,0
2025-06-15,15/06/2025 14:50,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 14:51,Beer Bar,Raffo,7,completed,experience,0
2025-06-15,15/06/2025 14:51,Cocktail Bar ,Sprtiz,10,completed,experience,0
2025-06-15,15/06/2025 14:51,Beer Bar,Nastro Azzurro,6,completed,experience,0
2025-06-15,15/06/2025 14:51,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 14:52,Beer Bar,"Nastro Azzurro, Bicchiere",7,completed,experience,1
2025-06-15,15/06/2025 14:52,Figo ,Polletti ,8,completed,experience,0
2025-06-15,15/06/2025 14:52,Figo ,Polletti ,8,completed,experience,0
2025-06-15,15/06/2025 14:52,Cocktail Bar ,"Cocktail, Cocktail, Bicchiere, Bicchiere",22,completed,experience,2
2025-06-15,15/06/2025 14:53,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 14:55,Beer Bar,"Nastro Azzurro, Bicchiere",6,completed,experience,0
2025-06-15,15/06/2025 14:55,Cocktail Bar ,"Bicchiere, Sprtiz",11,completed,experience,1
2025-06-15,15/06/2025 14:55,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 14:55,Cocktail Bar ,"Bottiglia Vino , Bicchiere, Bicchiere, Bicchiere, Bicchiere, Bicchiere",27,completed,experience,0
2025-06-15,15/06/2025 14:56,Figo ,Arancine ,5,completed,experience,0
2025-06-15,15/06/2025 14:56,Figo ,Arancine ,5,completed,experience,0
2025-06-15,15/06/2025 14:56,Cocktail Bar ,Bicchiere,1,completed,experience,1
2025-06-15,15/06/2025 14:56,Beer Bar,"Nastro Azzurro, Bicchiere",7,completed,experience,1
2025-06-15,15/06/2025 14:57,Cocktail Bar ,"Bicchiere, Bicchiere",1,completed,experience,1
2025-06-15,15/06/2025 14:57,Cocktail Bar ,"Cocktail, Bicchiere",11,completed,experience,1
2025-06-15,15/06/2025 14:57,Beer Bar,"Bicchiere, Raffo",8,completed,experience,1
2025-06-15,15/06/2025 14:58,Cocktail Bar ,"Bicchiere, Bicchiere, Cocktail, Cocktail",22,completed,experience,2
2025-06-15,15/06/2025 14:58,Beer Bar,"Nastro Azzurro, Bicchiere",6,completed,experience,0
2025-06-15,15/06/2025 14:58,Cocktail Bar ,"Cocktail, Bicchiere",11,completed,experience,1
2025-06-15,15/06/2025 14:58,Beer Bar,"Nastro Azzurro, Bicchiere",7,completed,experience,1
2025-06-15,15/06/2025 14:59,Beer Bar,"Raffo, Bicchiere",8,completed,experience,1
2025-06-15,15/06/2025 14:59,Beer Bar,"Nastro Azzurro, Bicchiere",6,completed,experience,0
2025-06-15,15/06/2025 14:59,Cocktail Bar ,"Bicchiere, Sprtiz",11,completed,experience,1
2025-06-15,15/06/2025 14:59,Cocktail Bar ,"Bicchiere, Sprtiz",11,completed,experience,1
2025-06-15,15/06/2025 15:00,Beer Bar,"Nastro Azzurro, Bicchiere",6,completed,experience,0
2025-06-15,15/06/2025 15:00,Cocktail Bar ,"Bicchiere, Vino e bolle, Acqua",9,completed,experience,1
2025-06-15,15/06/2025 15:00,Malandrino,Burger,12,completed,experience,0
2025-06-15,15/06/2025 15:00,Cocktail Bar ,"Bicchiere, Vino e bolle, Acqua",9,completed,experience,1
2025-06-15,15/06/2025 15:01,Beer Bar,Nastro Azzurro,6,completed,experience,0
2025-06-15,15/06/2025 15:01,Cocktail Bar ,"Bicchiere, Sprtiz",11,completed,experience,1
2025-06-15,15/06/2025 15:01,Malandrino,Patatina Grande,8,completed,experience,0
2025-06-15,15/06/2025 15:01,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 15:01,Beer Bar,Nastro Azzurro,6,completed,experience,0
2025-06-15,15/06/2025 15:03,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:03,Gelateria,Gelato,3,completed,experience,0
2025-06-15,15/06/2025 15:03,Beer Bar,"Nastro Azzurro, Nastro Azzurro",12,completed,experience,0
2025-06-15,15/06/2025 15:03,Cocktail Bar ,"Bicchiere, Cocktail",10,completed,experience,0
2025-06-15,15/06/2025 15:04,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:05,Cocktail Bar ,"Bicchiere, Bicchiere, Soft Drink, Soft Drink",10,completed,experience,0
2025-06-15,15/06/2025 15:05,Cocktail Bar ,Acqua,2,completed,experience,0
2025-06-15,15/06/2025 15:05,Cocktail Bar ,"Cocktail, Cocktail",20,completed,experience,0
2025-06-15,15/06/2025 15:05,Beer Bar,"Raffo, Raffo, Bicchiere, Bicchiere",16,completed,experience,2
2025-06-15,15/06/2025 15:05,Focacceria ,Mortadella,8,completed,experience,0
2025-06-15,15/06/2025 15:05,Cocktail Bar ,Acqua,2,completed,experience,0
2025-06-15,15/06/2025 15:05,Cocktail Bar ,"Bicchiere, Bicchiere, Sprtiz, Sprtiz",20,completed,experience,0
2025-06-15,15/06/2025 15:06,Cocktail Bar ,Acqua,2,completed,experience,0
2025-06-15,15/06/2025 15:06,Cocktail Bar ,"Bicchiere, Cocktail",10,completed,experience,0
2025-06-15,15/06/2025 15:06,Cocktail Bar ,"Bicchiere, Bicchiere, Bicchiere, Bicchiere, Bicchiere, Acqua, Acqua, Acqua, Acqua, Bottiglia Vino ",35,completed,experience,0
2025-06-15,15/06/2025 15:06,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 15:07,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:07,Cocktail Bar ,"Cocktail, Bicchiere, Bicchiere",12,completed,experience,2
2025-06-15,15/06/2025 15:07,Cocktail Bar ,Vino e bolle,6,completed,experience,0
2025-06-15,15/06/2025 15:08,Beer Bar,Nastro Azzurro,6,completed,experience,0
2025-06-15,15/06/2025 15:08,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 15:08,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:08,Cocktail Bar ,"Bicchiere, Sprtiz",11,completed,experience,1
2025-06-15,15/06/2025 15:09,Cocktail Bar ,Acqua,2,completed,experience,0
2025-06-15,15/06/2025 15:09,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:10,Figo ,Calamari e Moscardini ,10,completed,experience,0
2025-06-15,15/06/2025 15:10,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:10,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:10,Beer Bar,Nastro Azzurro,6,completed,experience,0
2025-06-15,15/06/2025 15:10,Beer Bar,Raffo,7,completed,experience,0
2025-06-15,15/06/2025 15:11,Beer Bar,Nastro Azzurro,6,completed,experience,0
2025-06-15,15/06/2025 15:11,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:11,Beer Bar,"Bicchiere, Nastro Azzurro",6,completed,experience,0
2025-06-15,15/06/2025 15:12,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 15:12,Cocktail Bar ,"Bicchiere, Sprtiz",11,completed,experience,1
2025-06-15,15/06/2025 15:12,Beer Bar,Raffo,7,completed,experience,0
2025-06-15,15/06/2025 15:12,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:13,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 15:13,Cocktail Bar ,Bottiglia Vino ,27,completed,experience,0
2025-06-15,15/06/2025 15:13,Beer Bar,"Raffo, Raffo, Bicchiere, Bicchiere",16,completed,experience,2
2025-06-15,15/06/2025 15:13,Focacceria ,Prosciutto,8,completed,experience,0
2025-06-15,15/06/2025 15:13,Focacceria ,Prosciutto,8,completed,experience,0
2025-06-15,15/06/2025 15:13,Cocktail Bar ,"Bicchiere, Bicchiere, Cocktail, Cocktail",20,completed,experience,0
2025-06-15,15/06/2025 15:14,Cocktail Bar ,Vino e bolle,6,completed,experience,0
2025-06-15,15/06/2025 15:14,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:14,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 15:14,Beer Bar,Acqua,2,completed,experience,0
2025-06-15,15/06/2025 15:15,Beer Bar,"Bicchiere, Bicchiere, Nastro Azzurro",6,completed,experience,0
2025-06-15,15/06/2025 15:15,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 15:16,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 15:16,Beer Bar,Raffo,7,completed,experience,0
2025-06-15,15/06/2025 15:16,Beer Bar,"Raffo, Bicchiere",8,completed,experience,1
2025-06-15,15/06/2025 15:16,Figo ,Calamari e Moscardini ,10,completed,experience,0
2025-06-15,15/06/2025 15:16,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:17,Beer Bar,Nastro Azzurro,6,completed,experience,0
2025-06-15,15/06/2025 15:17,Beer Bar,"Acqua, Acqua",4,completed,experience,0
2025-06-15,15/06/2025 15:17,Beer Bar,"Bicchiere, Raffo",8,completed,experience,1
2025-06-15,15/06/2025 15:17,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 15:18,Cocktail Bar ,"Bicchiere, Bicchiere, Sprtiz",12,completed,experience,2
2025-06-15,15/06/2025 15:18,Cocktail Bar ,"Bicchiere, Bicchiere, Bicchiere, Bicchiere, Bicchiere, Bottiglia Vino ",32,completed,experience,5
2025-06-15,15/06/2025 15:18,Cocktail Bar ,"Bicchiere, Sprtiz",11,completed,experience,1
2025-06-15,15/06/2025 15:18,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 15:18,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 15:18,Beer Bar,Raffo,7,completed,experience,0
2025-06-15,15/06/2025 15:19,Cocktail Bar ,"Sprtiz, Bicchiere",11,completed,experience,1
2025-06-15,15/06/2025 15:20,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:20,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:20,Cocktail Bar ,Acqua,2,completed,experience,0
2025-06-15,15/06/2025 15:20,Cocktail Bar ,Acqua,2,completed,experience,0
2025-06-15,15/06/2025 15:20,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:21,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:21,Beer Bar,"Nastro Azzurro, Bicchiere",7,completed,experience,1
2025-06-15,15/06/2025 15:21,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:21,Cocktail Bar ,Bottiglia Vino ,27,completed,experience,0
2025-06-15,15/06/2025 15:21,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:22,Beer Bar,"Nastro Azzurro, Bicchiere",7,completed,experience,1
2025-06-15,15/06/2025 15:22,Beer Bar,"Nastro Azzurro, Bicchiere",7,completed,experience,1
2025-06-15,15/06/2025 15:22,Beer Bar,"Nastro Azzurro, Bicchiere",7,completed,experience,1
2025-06-15,15/06/2025 15:22,Cocktail Bar ,"Cocktail, Bicchiere",11,completed,experience,1
2025-06-15,15/06/2025 15:23,Beer Bar,"Nastro Azzurro, Nastro Azzurro, Acqua",14,completed,experience,0
2025-06-15,15/06/2025 15:23,Cocktail Bar ,"Bicchiere, Cocktail",10,completed,experience,0
2025-06-15,15/06/2025 15:23,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:23,Cocktail Bar ,"Bicchiere, Bicchiere, Bicchiere, Bicchiere, Bicchiere, Bottiglia Vino ",32,completed,experience,5
2025-06-15,15/06/2025 15:24,Beer Bar,"Bicchiere, Nastro Azzurro",7,completed,experience,1
2025-06-15,15/06/2025 15:24,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 15:24,Beer Bar,"Bicchiere, Nastro Azzurro",7,completed,experience,1
2025-06-15,15/06/2025 15:25,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 15:25,Beer Bar,"Nastro Azzurro, Nastro Azzurro, Nastro Azzurro, Bicchiere, Bicchiere, Bicchiere",21,completed,experience,3
2025-06-15,15/06/2025 15:25,Cocktail Bar ,"Bicchiere, Bicchiere, Sprtiz, Sprtiz",22,completed,experience,2
2025-06-15,15/06/2025 15:25,Cocktail Bar ,Sprtiz,10,completed,experience,0
2025-06-15,15/06/2025 15:26,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 15:26,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 15:26,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 15:26,Cocktail Bar ,Cocktail,10,completed,experience,0
2025-06-15,15/06/2025 15:27,Beer Bar,"Raffo, Raffo",14,completed,experience,0
2025-06-15,15/06/2025 15:27,Cocktail Bar ,"Cocktail, Cocktail",20,completed,experience,0
2025-06-15,15/06/2025 15:27,Beer Bar,Nastro Azzurro,6,completed,experience,0
2025-06-15,15/06/2025 15:28,Cocktail Bar ,Acqua,2,completed,experience,0
2025-06-15,15/06/2025 15:28,Cocktail Bar ,Acqua,2,completed,experience,0
2025-06-15,15/06/2025 15:28,Beer Bar,"Raffo, Raffo",14,completed,experience,0
2025-06-15,15/06/2025 15:28,Cocktail Bar ,"Cocktail, Bicchiere",11,completed,experience,1
2025-06-15,15/06/2025 15:28,Beer Bar,"Nastro Azzurro, Bicchiere",7,completed,experience,1
2025-06-15,15/06/2025 15:28,Beer Bar,Raffo,7,completed,experience,0
2025-06-15,15/06/2025 15:28,Beer Bar,"Bicchiere, Raffo",8,completed,experience,1
2025-06-15,15/06/2025 15:28,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 15:29,Cocktail Bar ,"Bottiglia Vino , Bicchiere, Bicchiere",29,completed,experience,2
2025-06-15,15/06/2025 15:29,Cocktail Bar ,"Sprtiz, Sprtiz",20,completed,experience,0
2025-06-15,15/06/2025 15:30,Cocktail Bar ,"Bicchiere, Bicchiere, Soft Drink",7,completed,experience,2
